,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
23107,1999-04-29,India,Maldives,2,1,SAFF Cup,Margao,India,False
23108,1999-05-01,India,Bangladesh,2,0,SAFF Cup,Margao,India,False
23109,1999-05-01,Maldives,Nepal,2,0,SAFF Cup,Margao,India,True
24696,2001-01-11,Romania,Jordan,0,1,Millennium Cup,Margao,India,True
24698,2001-01-12,Bosnia and Herzegovina,Bangladesh,2,0,Millennium Cup,Kochi,India,True
24700,2001-01-12,Uzbekistan,Bahrain,5,0,Millennium Cup,Calcutta,India,True
24702,2001-01-13,India,Iceland,0,3,Millennium Cup,Kochi,India,False
24712,2001-01-14,Romania,Hong Kong,4,2,Millennium Cup,Margao,India,True
24713,2001-01-14,Serbia,Bosnia and Herzegovina,1,1,Millennium Cup,Kochi,India,True
24715,2001-01-15,Chile,Bahrain,2,0,Millennium Cup,Calcutta,India,True
24716,2001-01-16,Bangladesh,Serbia,1,4,Millennium Cup,Kochi,India,True
24717,2001-01-16,Hong Kong,Jordan,0,2,Millennium Cup,Margao,India,True
24718,2001-01-17,Chile,Uzbekistan,2,0,Millennium Cup,Calcutta,India,True
24723,2001-01-20,Chile,Iceland,2,0,Millennium Cup,Calcutta,India,True
24726,2001-01-20,Serbia,Romania,2,0,Millennium Cup,Margao,India,True
24727,2001-01-22,Bosnia and Herzegovina,Chile,1,0,Millennium Cup,Calcutta,India,True
24730,2001-01-23,Serbia,Japan,1,0,Millennium Cup,Calcutta,India,True
24735,2001-01-25,Bosnia and Herzegovina,Serbia,0,2,Millennium Cup,Calcutta,India,True
24999,2001-04-08,India,United Arab Emirates,1,0,FIFA World Cup qualification,Bangalore,India,False
25024,2001-04-15,India,Yemen,1,1,FIFA World Cup qualification,Bangalore,India,False
25154,2001-05-20,India,Brunei,5,0,FIFA World Cup qualification,Bangalore,India,False
26692,2003-03-30,India,North Korea,1,1,AFC Asian Cup qualification,Margao,India,False
27258,2003-10-22,India,Rwanda,3,1,Afro-Asian Games,Hyderabad,India,False
27260,2003-10-23,Burkina Faso,Zimbabwe,1,4,Afro-Asian Games,Hyderabad,India,True
27266,2003-10-29,India,Zimbabwe,5,3,Afro-Asian Games,Hyderabad,India,False
27268,2003-10-31,Rwanda,Zimbabwe,2,2,Afro-Asian Games,Hyderabad,India,True
27527,2004-02-18,India,Singapore,1,0,FIFA World Cup qualification,Margao,India,False
